tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
189577	42.9		9.9		4.3		426.2		800		25.0		84.9
load=84.4													
190088	43.1		9.9		4.3		428.2		800		25.0		84.4
load=85.4													
190599	44.0		9.9		4.4		435.4		800		25.0		85.4
load=86.7													
191110	42.9		9.9		4.3		425.2		800		25.0		86.7
load=89.1													
191621	43.2		9.9		4.4		427.8		800		25.0		89.1
load=90.2													
192132	44.0		9.9		4.4		435.4		800		25.0		90.2
load=91.5													
192643	43.7		9.9		4.4		432.8		800		25.0		91.5
load=93.4													
193154	43.7		9.9		4.4		433.6		800		25.0		93.4
load=94.6													
193665	43.8		9.9		4.4		434.6		800		25.0		94.6
load=95.0													
